recall_id,manufacturer,model_original,model_key,production_from,production_to,recall_start_date,recall_count,recall_reason,recall_category,source_url,official_check_url,loaded_at
REC-96DA92C347E811FB,현대자동차,아이오닉5 (NE),HYU_IONIQ5,2020-10-09,2024-03-22,2024-12-05,72796,"현대자동차㈜에서는 아이오닉5(NE), 아이오닉6(CE), 제네시스 GV60(JW), GV70(JK) EV, G80(RG3) EV 일부 차량에서 통합충전제어장치(ICCU) 리콜 소프트웨어 로직 미흡으로 전압 변환기능 고장시 저전압 배터리가 충전 불가한 상황이 발생하여 주행중 단계적 속도제한 및 지속 주행시 차량이 멈출 가능성이 있는 결함이 확인되어 제작결함시정을 하고자 함.",전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-7A89A0202D790912,현대자동차,아이오닉6 (CE),HYU_IONIQ6,2022-02-21,2024-10-28,2024-12-05,24966,"현대자동차㈜에서는 아이오닉5(NE), 아이오닉6(CE), 제네시스 GV60(JW), GV70(JK) EV, G80(RG3) EV 일부 차량에서 통합충전제어장치(ICCU) 리콜 소프트웨어 로직 미흡으로 전압 변환기능 고장시 저전압 배터리가 충전 불가한 상황이 발생하여 주행중 단계적 속도제한 및 지속 주행시 차량이 멈출 가능성이 있는 결함이 확인되어 제작결함시정을 하고자 함.",전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-46E1E06A41E07E2E,현대자동차,포터2 EV(HR EV),HYU_PORTER,2019-07-19,2022-03-31,2024-12-05,29115,일부 차량에서 경사로 선회 시 프로펠러 샤프트와 고전압배터리(BSA) 케이스 간섭 발생되는 설계 오류로 인해 프로펠러 샤프트에 충격 피로 누적 시 파손으로 동력 전달 불가로 차량 멈춤 가능성이 있는 결함,엔진·동력장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-913D3F252C5EDBF5,기아,EV6(CV),KIA_EV6,2021-07-12,2024-03-07,2024-12-09,55956,통합충전제어장치(ICCU)의 리콜 소프트웨어 로직 미흡으로 전압 변환기능 고장시 저전압 배터리가 충전 불가한 상황이 발생하여 주행중 단계적 속도제한 및 지속 주행시 차량이 멈출 가능성,전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-071E3219A06B45F0,기아,EV6(CV),KIA_EV6,2024-02-28,2024-05-18,2024-12-09,2652,통합충전제어장치(ICCU)의 소프트웨어 로직 미흡으로 전압 변환기능 고장시 저전압 배터리가 충전 불가한 상황이 발생하여 주행중 단계적 속도제한 및 지속 주행시 차량이 멈출 가능성,전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-52DA35D7562E8012,기아,K7(VG),KIA_K7,2009-11-18,2015-12-31,2024-12-16,123692,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-C581C940EBE3693B,기아,K7(VG),KIA_K7,2011-03-07,2015-12-29,2024-12-16,13861,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성,제동장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-D3E03250007C4946,기아,쏘렌토 하이브리드(MQ4 HEV),KIA_SORENTO,2023-07-19,2024-11-12,2024-12-18,74060,전조등 소프트웨어 설계 오류로 인해 방향지시등 일정 시간 작동 시 주간주행등 일부가 점등되지 않아 안전 기준을 만족하지 못하는 결함,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-D6694F66652B5813,기아,쏘렌토 (MQ4),KIA_SORENTO,2023-07-19,2024-11-11,2024-12-18,4250,전조등 소프트웨어 설계 오류로 인해 방향지시등 일정 시간 작동 시 주간주행등 일부가 점등되지 않아 안전 기준을 만족하지 못하는 결함,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-884883693C1A035E,기아,쏘렌토 (MQ4),KIA_SORENTO,2023-07-19,2024-11-11,2024-12-18,21713,전조등 소프트웨어 설계 오류로 인해 방향지시등 일정 시간 작동 시 주간주행등 일부가 점등되지 않아 안전 기준을 만족하지 못하는 결함,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-713E1DBBDBB66F4D,현대자동차,아이오닉5(NE1 PE),HYU_IONIQ5,2024-03-06,2024-10-18,2024-12-24,2517,"아이오닉5(NE1 PE) 일부 차량에서 주간상시점등장치(DRL) 제어기의 로직이 오설정되어 벌브사양 방향지시등 작동 시 주간상시점등장치(DRL)가 소등되는 법규 불만족 결함이 확인 ※ 주간상시점등장치(DRL) : 운전자의 주간 가시성을 향상시킬 목적으로 주행시 상시 헤드램프를 점등토록 하는 장치, 주간에도 전조등이 켜지는 장치 ※ 자동차 규칙 제 38조의 4 주간주행등, 별표6의8 주간주행등의 설치 및 광도기준, 바. 작동조건 : 시동장치의 열쇠가 원동기 작동위치에서 자동으로 점등될 것.",등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-CF8B590A6859300E,기아,쏘렌토 하이브리드(MQ4 HEV PE),KIA_SORENTO,2023-07-24,2024-06-20,2025-01-24,62479,바디도메인 제어장치 소프트웨어 오류로 인해 주행 초기 소프트웨어가 리셋되어 재동작하는 경우 전조등이 일시적으로 꺼졌다 켜질 가능성,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-70A6222FFDA4CA47,기아,쏘렌토 (MQ4 PE),KIA_SORENTO,2023-07-24,2024-06-18,2025-01-24,21062,바디도메인 제어장치 소프트웨어 오류로 인해 주행 초기 소프트웨어가 리셋되어 재동작하는 경우 전조등이 일시적으로 꺼졌다 켜질 가능성,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-0D9D2723A511A969,기아,쏘렌토 (MQ4 PE),KIA_SORENTO,2023-07-26,2024-07-08,2025-01-24,6057,바디도메인 제어장치 소프트웨어 오류로 인해 주행 초기 소프트웨어가 리셋되어 재동작하는 경우 전조등이 일시적으로 꺼졌다 켜질 가능성,등화장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-166058363F4753A9,기아,봉고Ⅲ (PU),KIA_BONGO3,2023-12-05,2024-10-23,2025-01-31,33058,12V 배터리 센서 설계 불량으로 인해 배터리 센서 소손 발생하여 안전 운행에 지장을 줄 가능성,전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-ACF2CEC5B46A28E8,기아,봉고Ⅲ EV(PU EV),KIA_BONGO3,2020-01-15,2024-10-15,2025-01-31,53146,12V 배터리 센서 설계 불량으로 인해 배터리 센서 소손 발생하여 안전 운행에 지장을 줄 가능성,전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-BAC83E9F1C058985,현대자동차,포터II,HYU_PORTER,2023-06-22,2024-10-31,2025-02-03,58758,"포터II(HR) (LPDi, EV) 일부 차량에서 12v 배터리 센서 설계 불량으로 인해 배터리 센서에 수분이 유입되어 내부 회로 쇼트(단락)되는 경우 배터리 센서 소손 발생하여 안전 운행에 지장을 줄 가능성이 있는 결함이 확인 ※ 배터리 센서 : 배터리 상태(전압, 전류, 온도, 수명 등)를 파악하여 발전기가 효율적으로 작동하게 하는 부품",전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-93439B520F459A49,현대자동차,포터II EV,HYU_PORTER,2019-07-19,2024-09-11,2025-02-03,82367,"포터II(HR) (LPDi, EV) 일부 차량에서 12v 배터리 센서 설계 불량으로 인해 배터리 센서에 수분이 유입되어 내부 회로 쇼트(단락)되는 경우 배터리 센서 소손 발생하여 안전 운행에 지장을 줄 가능성이 있는 결함이 확인 ※ 배터리 센서 : 배터리 상태(전압, 전류, 온도, 수명 등)를 파악하여 발전기가 효율적으로 작동하게 하는 부품",전기·전자장치,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
REC-9B21381433832AFD,기아,니로 (SG2 HEV),KIA_NIRO,2021-12-20,2025-01-09,2025-02-26,31968,전기배선 경로 설계 불량으로 인해 전기배선이 승객감지장치에 간섭되어 전기배선이 손상되는 경우 충돌 시 동승석 에어백(정면/측면)이 전개되지 않거나 비정상 전개될 수 있고 에어백 미전개 조건에서 동승석 측면 에어백이 자발 전개되어 탑승자 상해 발생 가능성,탑승자보호,https://www.data.go.kr/data/15125831/fileData.do,https://www.car.go.kr/home/main.do,2026-08-24
